@relation 'animationtype-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'mean transitions/s' numeric
@attribute 'mean gradient mag' numeric
@attribute 'immobile frames' numeric
@attribute 'hist peaks' numeric
@attribute 'texture hist peaks' numeric
@attribute 'mean hist diff' numeric
@attribute 'mean face count' numeric
@attribute 'animation type' {Animation,NotAnimation}

@data
0.449101,1.098988,17,2198,267,0.233315,0.00995,NotAnimation
0.389221,1.660512,1,1762,250,0.237443,0.293532,NotAnimation
0.852077,3.420878,67,165,251,0.346658,0.37013,NotAnimation
1.053891,3.484106,6,2866,293,0.181214,0.467662,NotAnimation
0.023976,0.438577,9,1091,201,0.412752,2.253731,NotAnimation
0.449101,1.282538,123,3556,403,0.197438,0.855721,NotAnimation
1.198801,9.497531,146,1369,262,0.240134,0.144279,NotAnimation
1.005987,5.139822,98,1816,202,0.388921,0.054726,NotAnimation
0.11976,0.341999,351,2374,239,0.199037,0.223881,NotAnimation
0.179641,0.562726,0,2383,294,0.183512,1.348259,NotAnimation
0.628742,1.33588,51,2992,208,0.20168,0.393035,NotAnimation
0.311377,2.203115,128,1712,201,0.300489,0.034826,NotAnimation
0.431137,14.343144,343,1946,201,0.359992,1.154229,NotAnimation
0.868263,8.395616,207,1332,218,0.269366,0.487562,NotAnimation
0.08982,6.007266,154,2677,201,0.18108,0.139303,NotAnimation
0.479041,3.244229,80,1321,246,0.384138,0.029851,NotAnimation
0.025835,1.710102,79,0,402,0.263318,0.412935,NotAnimation
0.419161,1.790409,183,2046,346,0.234972,0.268657,NotAnimation
0.362637,1.911695,260,2550,365,0.157193,0.17033,NotAnimation
0.11976,0.525353,406,2087,231,0.413202,0.731343,NotAnimation
0.739895,2.86597,266,1904,235,0.164333,1.342391,NotAnimation
0.11976,1.343852,15,2321,206,0.317584,0.278607,NotAnimation
0.658682,1.735745,133,1762,310,0.230147,1.562189,NotAnimation
0.11976,4.239432,249,1096,201,0.359095,0.059701,NotAnimation
0.538922,6.122556,253,1445,270,0.314366,0.109453,NotAnimation
